AT5G56970
AT1G19050
AT2G46310
AT5G62920
AT3G48100
AT2G40670
AT4G26150
AT1G74890
AT4G29740
AT4G23750
AT1G10470
AT2G01830
AT2G41310
AT5G05860
AT3G44880
AT3G03470
AT4G13250
AT4G16690
AT1G26930
AT5G13800
AT4G32810
AT4G25700
AT2G44990
AT1G28100
AT1G54570
AT5G39610
AT1G17020
AT1G69490
AT4G32940
AT5G39520
AT4G18980
AT2G25625
AT1G32450
AT1G27300
AT1G79520
AT1G02230
AT2G34610
AT2G23150
AT3G48580
AT4G37990
AT3G56200
AT1G54570
AT4G19810
AT5G20830
AT4G30460
AT5G67370
AT3G26060
AT5G39610
AT5G14740
AT1G29910
AT3G26060
AT3G27850
AT4G28660
AT1G07320
AT1G29910
AT5G58260
AT2G39470
AT1G42970
AT1G50020
ATCG00020
AT2G25625
AT3G48580
AT1G30360
AT3G56200
AT5G39610
AT4G05100
AT2G47190
AT1G12420
AT1G62660
AT1G48000
AT4G25580
AT5G39520
AT1G63840
AT2G38640
AT2G46950
AT1G71960
AT2G03850
AT4G27410
AT5G50720
AT2G33380
AT3G20810
AT4G12735
AT5G43910
